FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,91047,1611581,1702628,-0.0614,766182,-0.049
2025,R4,2,91047,1722960,1814007,-0.0316,805677,-0.0107
2024,R4,2,91047,1782083,1873130,0.001,814408,0.2726
2023,R4,2,91047,1780305,1871352,0.0002,639936,0.0282
2022,R4,2,91047,1779899,1870946,0.0005,622378,0.3012
2021,R4,2,91047,1778967,1870014,0.0142,478324,-0.0036
2020,R4,2,91047,1752760,1843807,-0.0004,480031,0.4296
2019,R4,2,91047,1753471,1844518,0.003,335774,0.0324
2018,R4,2,91047,1747925,1838972,-0.0503,325243,0.8749
2017,R4,2,91047,1845315,1936362,0.1943,173473,0.0415
2016,R4,2,91047,1530270,1621317,0.0447,166554,4.1993
2015,R4,2,91047,1460938,1551985,,32034,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Feb 03 2020 00:00:00 GMT-0500 (Eastern Standard Time),15700000,"GAIA PROPERTIES, LLC",15750C LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020020700452002,Mon Feb 10 2020 09:37:04 GMT-0500 (Eastern Standard Time)
DEED,Tue Mar 24 2015 00:00:00 GMT-0400 (Eastern Daylight Time),19350250,EXTELL WEST 57TH STREET LLC,GAIA PROPERTIES LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2015032700862002,Thu Apr 02 2015 09:57:28 GMT-0400 (Eastern Daylight Time)
