FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,47292,837100,884392,-0.0614,397976,-0.049
2025,R4,2,47292,894953,942245,-0.0316,418490,-0.0107
2024,R4,2,47292,925663,972955,0.001,423025,0.2726
2023,R4,2,47292,924739,972031,0.0002,332400,0.0282
2022,R4,2,47292,924528,971820,0.0005,323278,0.3012
2021,R4,2,47292,924044,971336,0.0142,248453,-0.0036
2020,R4,2,47292,910432,957724,-0.0004,249340,0.4296
2019,R4,2,47292,910801,958093,0.003,174409,0.0324
2018,R4,2,47292,907920,955212,-0.0503,168939,0.8749
2017,R4,2,47292,958507,1005799,0.1943,90106,0.0415
2016,R4,2,47292,794864,842156,0.0447,86513,4.1994
2015,R4,2,47292,758851,806143,,16639,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jan 07 2014 00:00:00 GMT-0500 (Eastern Standard Time),7463200,EXTELL WEST 57TH STREET LLC,"NYC CONDO, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2014011300291001,Wed Jan 15 2014 11:12:08 GMT-0500 (Eastern Standard Time)
