FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,201439,3565583,3767022,-0.0614,1695160,-0.049
2025,R4,2,201439,3812006,4013445,-0.0316,1782542,-0.0107
2024,R4,2,201439,3942812,4144251,0.0009,1801858,0.2726
2023,R4,2,201439,3938879,4140318,0.0002,1415844,0.0282
2022,R4,2,201439,3937981,4139420,0.0005,1376995,0.3012
2021,R4,2,201439,3935919,4137358,0.0142,1058281,-0.0036
2020,R4,2,201439,3877937,4079376,-0.0004,1062053,0.4296
2019,R4,2,201439,3879509,4080948,0.003,742890,0.0324
2018,R4,2,201439,3867239,4068678,-0.0503,719590,0.8749
2017,R4,2,201439,4082711,4284150,0.1943,383803,0.0415
2016,R4,2,201439,3385683,3587122,0.0447,368495,4.1994
2015,R4,2,201439,3232288,3433727,,70873,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Aug 30 2018 00:00:00 GMT-0400 (Eastern Daylight Time),42000000,UNIT 58A ACQUISITION CORP.,PILCHUCK CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2018090400942001,Mon Sep 10 2018 09:15:13 GMT-0400 (Eastern Daylight Time)
DEED,Mon Apr 27 2015 00:00:00 GMT-0400 (Eastern Daylight Time),47782187,EXTELL WEST 57TH STREET LLC,UNIT 58A ACQUISITION CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2015050100315002,Fri May 15 2015 09:52:08 GMT-0400 (Eastern Daylight Time)
