FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,32546,724177,756723,-0.053,333725,-0.0289
2025,R4,2,32546,766525,799071,0.0085,343648,-0.0039
2024,R4,2,32546,759823,792369,0.0065,344998,0.2736
2023,R4,2,32546,754673,787219,0.019,270878,0.0298
2022,R4,2,32546,739960,772506,-0.0507,263044,0.3077
2021,R4,2,32546,781195,813741,0.0338,201151,0.0204
2020,R4,2,32546,754586,787132,0.0047,197139,0.4519
2019,R4,2,32546,750918,783464,0.022,135779,0.0454
2018,R4,2,32546,734023,766569,,129887,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue May 05 2020 00:00:00 GMT-0400 (Eastern Daylight Time),3798465,EXTELL WEST 57TH STREET LLC,ASHMONSTER LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020051800868001,Tue May 19 2020 14:36:42 GMT-0400 (Eastern Daylight Time)
