FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,45523,1012936,1058459,-0.053,466796,-0.0289
2025,R4,2,45523,1072170,1117693,0.0085,480675,-0.0039
2024,R4,2,45523,1062797,1108320,0.0065,482563,0.2736
2023,R4,2,45523,1055592,1101115,0.019,378889,0.0298
2022,R4,2,45523,1035013,1080536,-0.0507,367931,0.3077
2021,R4,2,45523,1092690,1138213,0.0338,281359,0.0203
2020,R4,2,45523,1055470,1100993,0.0047,275750,0.4519
2019,R4,2,45523,1050340,1095863,0.022,189920,0.0454
2018,R4,2,45523,1026708,1072231,,181680,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 20 2016 00:00:00 GMT-0500 (Eastern Standard Time),6402159,EXTELL WEST 57TH STREET LLC,157-35C LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2016122701664001,Wed Dec 28 2016 12:07:29 GMT-0500 (Eastern Standard Time)
