FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,148710,2632250,2780960,-0.0614,1251433,-0.049
2025,R4,2,148710,2814169,2962879,-0.0316,1315941,-0.0107
2024,R4,2,148710,2910735,3059445,0.0009,1330201,0.2726
2023,R4,2,148710,2907832,3056542,0.0002,1045229,0.0282
2022,R4,2,148710,2907168,3055878,0.0005,1016552,0.3012
2021,R4,2,148710,2905646,3054356,0.0142,781264,-0.0036
2020,R4,2,148710,2862842,3011552,-0.0004,784048,0.4296
2019,R4,2,148710,2864002,3012712,0.003,548430,0.0324
2018,R4,2,148710,2854944,3003654,-0.0503,531229,0.8749
2017,R4,2,148710,3014014,3162724,0.1943,283339,0.0415
2016,R4,2,148710,2499441,2648151,0.0447,272038,4.1993
2015,R4,2,148710,2386199,2534909,,52322,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 22 2017 00:00:00 GMT-0400 (Eastern Daylight Time),-,"REBECCA ANN MOORES, AS TRUSTEE; REBECCA ANN MOORES FAMILY TRUST DATED 3/11/2009","RAM 57TH ST. HOLDINGS, L.P.",-,SINGLE RESIDENTIAL CONDO UNIT,2017100301030001,Tue Oct 03 2017 16:54:02 GMT-0400 (Eastern Daylight Time)
DEED,Thu Nov 19 2015 00:00:00 GMT-0500 (Eastern Standard Time),34369438,EXTELL WEST 57TH STREET LLC,"REBECCA ANN MOORES, TRUSTEE; REBECCA ANN MOORES FAMILY TRUST DATED MARCH11,2009",-,SINGLE RESIDENTIAL CONDO UNIT,2015112400586001,Tue Dec 01 2015 11:29:25 GMT-0500 (Eastern Standard Time)
