FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,212555,3762334,3974889,-0.0614,1788700,-0.049
2025,R4,2,212555,4022355,4234910,-0.0316,1880905,-0.0107
2024,R4,2,212555,4160379,4372934,0.0009,1901286,0.2726
2023,R4,2,212555,4156229,4368784,0.0002,1493971,0.0282
2022,R4,2,212555,4155282,4367837,0.0005,1452981,0.3012
2021,R4,2,212555,4153106,4365661,0.0142,1116678,-0.0036
2020,R4,2,212555,4091924,4304479,-0.0004,1120659,0.4296
2019,R4,2,212555,4093583,4306138,0.003,783884,0.0324
2018,R4,2,212555,4080636,4293191,-0.0503,759299,0.8749
2017,R4,2,212555,4307998,4520553,0.1943,404982,0.0415
2016,R4,2,212555,3572507,3785062,0.0447,388830,4.1993
2015,R4,2,212555,3410647,3623202,,74785,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon May 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time),53967250,TOWER 85 LLC,"ONE5785, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2018051500958001,Wed May 16 2018 10:25:01 GMT-0400 (Eastern Daylight Time)
DEED,Wed Dec 03 2014 00:00:00 GMT-0500 (Eastern Standard Time),55559311,EXTELL WEST 57TH STREET LLC,TOWER 85 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2014121500819002,Wed Jan 21 2015 07:40:14 GMT-0500 (Eastern Standard Time)
