FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,23870,531118,554988,-0.053,244758,-0.0289
2025,R4,2,23870,562177,586047,0.0085,252035,-0.0039
2024,R4,2,23870,557262,581132,0.0065,253025,0.2736
2023,R4,2,23870,553484,577354,0.019,198664,0.0298
2022,R4,2,23870,542694,566564,-0.0507,192918,0.3077
2021,R4,2,23870,572936,596806,0.0338,147525,0.0203
2020,R4,2,23870,553420,577290,0.0047,144586,0.4519
2019,R4,2,23870,550731,574601,0.022,99582,0.0454
2018,R4,2,23870,538339,562209,,95261,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 21 2021 00:00:00 GMT-0500 (Eastern Standard Time),2993984,EXTELL WEST 57TH STREET II LLC,BAYSIDE CG LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021021100770001,Tue Feb 23 2021 11:37:54 GMT-0500 (Eastern Standard Time)
DEED,Mon Jun 29 2020 00:00:00 GMT-0400 (Eastern Daylight Time),-,EXTELL WEST 57TH STREET LLC,EXTELL WEST 57TH STREET II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020070200773001,Mon Jul 06 2020 16:16:41 GMT-0400 (Eastern Daylight Time)
