FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,204213,3614688,3818901,-0.0614,1718506,-0.049
2025,R4,2,204213,3864505,4068718,-0.0316,1807091,-0.0107
2024,R4,2,204213,3997113,4201326,0.0009,1826673,0.2726
2023,R4,2,204213,3993126,4197339,0.0002,1435343,0.0282
2022,R4,2,204213,3992215,4196428,0.0005,1395960,0.3012
2021,R4,2,204213,3990125,4194338,0.0142,1072855,-0.0036
2020,R4,2,204213,3931344,4135557,-0.0004,1076680,0.4296
2019,R4,2,204213,3932938,4137151,0.003,753120,0.0324
2018,R4,2,204213,3920499,4124712,-0.0503,729499,0.8749
2017,R4,2,204213,4138939,4343152,0.1943,389088,0.0415
2016,R4,2,204213,3432311,3636524,0.0447,373570,4.1994
2015,R4,2,204213,3276803,3481016,,71849,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Nov 16 2017 00:00:00 GMT-0500 (Eastern Standard Time),36657000,"MARK MCKEW, ESQ",S7AL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017111600072001,Fri Nov 17 2017 11:06:41 GMT-0500 (Eastern Standard Time)
DEED,Wed Dec 03 2014 00:00:00 GMT-0500 (Eastern Standard Time),50916000,EXTELL WEST 57TH STREET LLC,ONE57 79 INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2014121000233002,
