FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,32453,722105,754558,-0.053,332770,-0.0289
2025,R4,2,32453,764332,796785,0.0085,342665,-0.0039
2024,R4,2,32453,757650,790103,0.0065,344010,0.2736
2023,R4,2,32453,752514,784967,0.019,270103,0.0298
2022,R4,2,32453,737844,770297,-0.0507,262291,0.3077
2021,R4,2,32453,778961,811414,0.0338,200575,0.0203
2020,R4,2,32453,752427,784880,0.0047,196577,0.4519
2019,R4,2,32453,748770,781223,0.022,135390,0.0454
2018,R4,2,32453,731923,764376,,129516,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Mar 27 2023 00:00:00 GMT-0400 (Eastern Daylight Time),4086500,EXTELL WEST 57TH STREET II LLC,WEATHER 18 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023040400714001,Wed Apr 05 2023 10:28:57 GMT-0400 (Eastern Daylight Time)
DEED,Mon Jun 29 2020 00:00:00 GMT-0400 (Eastern Daylight Time),-,EXTELL WEST 57TH STREET LLC,EXTELL WEST 57TH STREET II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020070200773001,Mon Jul 06 2020 16:16:41 GMT-0400 (Eastern Daylight Time)
