FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,24074,535675,559749,-0.053,246857,-0.0289
2025,R4,2,24074,567000,591074,0.0085,254197,-0.0039
2024,R4,2,24074,562043,586117,0.0065,255194,0.2736
2023,R4,2,24074,558233,582307,0.019,200368,0.0298
2022,R4,2,24074,547350,571424,-0.0507,194572,0.3077
2021,R4,2,24074,577852,601926,0.0338,148791,0.0203
2020,R4,2,24074,558169,582243,0.0047,145825,0.4519
2019,R4,2,24074,555456,579530,0.022,100436,0.0454
2018,R4,2,24074,542958,567032,,96078,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jul 18 2017 00:00:00 GMT-0400 (Eastern Daylight Time),3707937,EXTELL WEST 57TH STREET LLC,FULL MERIT NY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017073101132001,Wed Aug 02 2017 12:12:47 GMT-0400 (Eastern Daylight Time)
