FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,24093,536090,560183,-0.053,247049,-0.0289
2025,R4,2,24093,567439,591532,0.0085,254394,-0.0039
2024,R4,2,24093,562478,586571,0.0065,255392,0.2736
2023,R4,2,24093,558665,582758,0.019,200524,0.0298
2022,R4,2,24093,547774,571867,-0.0507,194724,0.3077
2021,R4,2,24093,578299,602392,0.0338,148907,0.0204
2020,R4,2,24093,558601,582694,0.0047,145937,0.4519
2019,R4,2,24093,555886,579979,0.022,100513,0.0454
2018,R4,2,24093,543378,567471,,96152,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Jul 13 2021 00:00:00 GMT-0400 (Eastern Daylight Time),2956425,EXTELL WEST 57TH STREET II LLC,157 38D LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021072101220002,Wed Jul 28 2021 10:55:16 GMT-0400 (Eastern Daylight Time)
DEED,Mon Jun 29 2020 00:00:00 GMT-0400 (Eastern Daylight Time),-,EXTELL WEST 57TH STREET LLC,EXTELL WEST 57TH STREET II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020070200773001,Mon Jul 06 2020 16:16:41 GMT-0400 (Eastern Daylight Time)
