FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,23181,515789,538970,-0.053,237693,-0.0289
2025,R4,2,23181,545952,569133,0.0085,244760,-0.0039
2024,R4,2,23181,541179,564360,0.0065,245722,0.2736
2023,R4,2,23181,537510,560691,0.019,192930,0.0298
2022,R4,2,23181,527031,550212,-0.0507,187350,0.3077
2021,R4,2,23181,556400,579581,0.0338,143268,0.0204
2020,R4,2,23181,537448,560629,0.0047,140410,0.4519
2019,R4,2,23181,534836,558017,0.022,96708,0.0454
2018,R4,2,23181,522802,545983,,92511,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 03 2017 00:00:00 GMT-0400 (Eastern Daylight Time),3099308,EXTELL WEST 57TH STREET LLC,CHABELA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2017040700013001,Fri Apr 14 2017 12:13:27 GMT-0400 (Eastern Daylight Time)
