FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,56211,994962,1051173,-0.0614,473028,-0.049
2025,R4,2,56211,1063725,1119936,-0.0316,497410,-0.0107
2024,R4,2,56211,1100226,1156437,0.0009,502800,0.2726
2023,R4,2,56211,1099129,1155340,0.0002,395084,0.0282
2022,R4,2,56211,1098878,1155089,0.0005,384244,0.3012
2021,R4,2,56211,1098303,1154514,0.0142,295308,-0.0036
2020,R4,2,56211,1082123,1138334,-0.0004,296362,0.4296
2019,R4,2,56211,1082562,1138773,0.003,207300,0.0324
2018,R4,2,56211,1079138,1135349,-0.0503,200799,0.8749
2017,R4,2,56211,1139265,1195476,0.1943,107099,0.0415
2016,R4,2,56211,944762,1000973,0.0447,102828,4.1994
2015,R4,2,56211,901957,958168,,19777,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jul 16 2021 00:00:00 GMT-0400 (Eastern Daylight Time),7508477,EXTELL WEST 57TH STREET LLC,"ONEFIFTYSEVEN32F, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021072800871001,Wed Aug 04 2021 08:36:08 GMT-0400 (Eastern Daylight Time)
