FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,24558,434699,459257,-0.0614,206666,-0.049
2025,R4,2,24558,464741,489299,-0.0316,217317,-0.0107
2024,R4,2,24558,480689,505247,0.001,219672,0.2726
2023,R4,2,24558,480209,504767,0.0002,172611,0.0282
2022,R4,2,24558,480100,504658,0.0005,167875,0.3012
2021,R4,2,24558,479848,504406,0.0142,129019,-0.0036
2020,R4,2,24558,472779,497337,-0.0004,129482,0.4297
2019,R4,2,24558,472971,497529,0.003,90569,0.0324
2018,R4,2,24558,471475,496033,-0.0503,87729,0.8749
2017,R4,2,24558,497744,522302,0.1943,46791,0.0415
2016,R4,2,24558,412766,437324,0.0447,44925,4.1997
2015,R4,2,24558,394065,418623,,8640,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu May 14 2015 00:00:00 GMT-0400 (Eastern Daylight Time),3312813,EXTELL WEST 57TH STREET LLC,SAPUSNY INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2015051901013002,Wed May 27 2015 14:32:20 GMT-0400 (Eastern Daylight Time)
