FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,147500,2610828,2758328,-0.0614,1241248,-0.049
2025,R4,2,147500,2791266,2938766,-0.0316,1305231,-0.0107
2024,R4,2,147500,2887047,3034547,0.0009,1319375,0.2726
2023,R4,2,147500,2884167,3031667,0.0002,1036723,0.0282
2022,R4,2,147500,2883509,3031009,0.0005,1008278,0.3012
2021,R4,2,147500,2881999,3029499,0.0142,774905,-0.0036
2020,R4,2,147500,2839543,2987043,-0.0004,777667,0.4296
2019,R4,2,147500,2840694,2988194,0.003,543966,0.0324
2018,R4,2,147500,2831710,2979210,-0.0503,526905,0.8749
2017,R4,2,147500,2989485,3136985,0.1943,281032,0.0415
2016,R4,2,147500,2479100,2626600,0.0447,269823,4.1994
2015,R4,2,147500,2366779,2514279,,51895,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Apr 14 2015 00:00:00 GMT-0400 (Eastern Daylight Time),30683373,EXTELL WEST 57TH STREET LLC,HEBREWS 3:4 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2015041800131001,Fri Apr 24 2015 11:09:22 GMT-0400 (Eastern Daylight Time)
