FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,124710,1550840,1675550,0.0632,731238,0.0311
2025,R4,2,124710,1451313,1576023,-0.0453,709211,-0.0366
2024,R4,2,124710,1526045,1650755,0.1351,736135,0.1659
2023,R4,2,124710,1329586,1454296,0.2713,631407,0.3135
2022,RR,2,124710,1019260,1143970,,480705,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Feb 27 2023 00:00:00 GMT-0500 (Eastern Standard Time),12697452,SMITELL LLC,NLMT LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023022700518001,
