FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,20254,251876,272130,0.0631,118760,0.031
2025,R4,2,20254,235712,255966,-0.0453,115184,-0.0366
2024,R4,2,20254,247849,268103,0.1351,119556,0.1659
2023,R4,2,20255,215942,236197,0.2713,102548,0.3135
2022,RR,2,20255,165541,185796,,78072,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Feb 14 2022 00:00:00 GMT-0500 (Eastern Standard Time),1017409,SMITELL LLC,CPT 33E OWNER LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022022800545001,Thu Mar 03 2022 12:17:29 GMT-0500 (Eastern Standard Time)
