FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,126800,1576827,1703627,0.0632,743491,0.0311
2025,R4,2,126800,1475632,1602432,-0.0453,721094,-0.0366
2024,R4,2,126800,1551616,1678416,0.1351,748470,0.1659
2023,R4,2,126800,1351866,1478666,0.2713,641986,0.3135
2022,RR,2,126800,1036339,1163139,,488760,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu May 27 2021 00:00:00 GMT-0400 (Eastern Daylight Time),16047912,SMITELL LLC,ZT GLOBAL INVESTMENTS INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2021061101232001,Tue Sep 28 2021 03:44:23 GMT-0400 (Eastern Daylight Time)
