FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,172485,2144948,2317433,0.0632,1011368,0.0311
2025,R4,2,172485,2007294,2179779,-0.0453,980900,-0.0366
2024,R4,2,172485,2110655,2283140,0.1351,1018140,0.1659
2023,R4,2,172485,1838935,2011420,0.2713,873291,0.3135
2022,RR,2,172485,1409726,1582211,,664858,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
