FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,524334,6520403,7044737,0.0632,3074444,0.0311
2025,R4,2,524334,6101948,6626282,-0.0453,2981827,-0.0366
2024,R4,2,524334,6416154,6940488,0.1351,3095033,0.1659
2023,R4,2,524334,5590158,6114492,0.2713,2654708,0.3135
2022,RR,2,524334,4285410,4809744,,2021095,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 14 2024 00:00:00 GMT-0400 (Eastern Daylight Time),117390500,SMITELL B LLC,WEALTHBRIDGE HOLDINGS NY LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024061800154001,Fri Jun 21 2024 10:44:00 GMT-0400 (Eastern Daylight Time)
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807001,Wed Feb 01 2023 09:52:44 GMT-0500 (Eastern Standard Time)
