FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,125706,1563233,1688939,0.0632,737082,0.0311
2025,R4,2,125706,1462911,1588617,-0.0453,714878,-0.0366
2024,R4,2,125706,1538240,1663946,0.1351,742018,0.1659
2023,R4,2,125707,1340212,1465919,0.2713,636452,0.3135
2022,RR,2,125707,1027405,1153112,,484546,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Aug 31 2021 00:00:00 GMT-0400 (Eastern Daylight Time),14805125,SMITELL LLC,CENTRAL PARK TOWER 46C CORP.,-,SINGLE RESIDENTIAL CONDO UNIT,2021090801140001,Tue Sep 21 2021 15:23:23 GMT-0400 (Eastern Daylight Time)
