FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,128278,1595218,1723496,0.0632,752162,0.0311
2025,R4,2,128278,1492843,1621121,-0.0453,729504,-0.0366
2024,R4,2,128278,1569713,1697991,0.1351,757199,0.1659
2023,R4,2,128279,1367633,1495912,0.2713,649474,0.3135
2022,RR,2,128279,1048427,1176706,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Nov 18 2021 00:00:00 GMT-0500 (Eastern Standard Time),17357000,SMITELL LLC,PELOPONNESE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021121300351001,
