FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55587,691261,746848,0.0632,325936,0.0311
2025,R4,2,55587,646899,702486,-0.0453,316119,-0.0366
2024,R4,2,55587,680209,735796,0.1351,328118,0.1659
2023,R4,2,55587,592641,648228,0.2713,281437,0.3135
2022,RR,2,55587,454318,509905,,214265,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Aug 12 2021 00:00:00 GMT-0400 (Eastern Daylight Time),3883100,SMITELL LLC,217 45D LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021082400964002,Thu Sep 02 2021 10:30:02 GMT-0400 (Eastern Daylight Time)
