FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,90149,1121050,1211199,0.0632,528587,0.0311
2025,R4,2,90149,1049106,1139255,-0.0453,512665,-0.0366
2024,R4,2,90149,1103127,1193276,0.1351,532127,0.1659
2023,R4,2,90149,961114,1051263,0.2713,456423,0.3135
2022,RR,2,90149,736789,826938,,347485,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jun 12 2023 00:00:00 GMT-0400 (Eastern Daylight Time),8374400,SMITELL LLC,"SIENA CPT, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2023061500947001,Fri Jun 16 2023 15:12:03 GMT-0400 (Eastern Daylight Time)
