FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55909,695259,751168,0.0632,327821,0.0311
2025,R4,2,55909,650640,706549,-0.0453,317947,-0.0366
2024,R4,2,55909,684143,740052,0.1351,330016,0.1659
2023,R4,2,55909,596069,651978,0.2713,283066,0.3135
2022,RR,2,55909,456946,512855,,215505,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue May 03 2022 00:00:00 GMT-0400 (Eastern Daylight Time),3985175,SMITELL LLC,"217 CPT 47D, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2022051100567001,
