FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,323847,4027225,4351072,0.0632,1898883,0.0311
2025,R4,2,323847,3768773,4092620,-0.0453,1841679,-0.0366
2024,R4,2,323847,3962837,4286684,0.1351,1911600,0.1659
2023,R4,2,323847,3452674,3776521,0.2713,1639639,0.3135
2022,RR,2,323847,2646817,2970664,,1248297,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Sep 17 2021 00:00:00 GMT-0400 (Eastern Daylight Time),50021000,SMITELL LLC,STAR PARK TOWER LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021092400314001,Thu Sep 30 2021 09:36:10 GMT-0400 (Eastern Daylight Time)
