FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,88702,1103059,1191761,0.0632,520104,0.0311
2025,R4,2,88702,1032269,1120971,-0.0453,504437,-0.0366
2024,R4,2,88702,1085423,1174125,0.1351,523587,0.1659
2023,R4,2,88702,945689,1034391,0.2713,449097,0.3135
2022,RR,2,88702,724965,813667,,341908,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Apr 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),10130090,SMITELL LLC,CENTRAL PARK TOWER 35C LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021051600074001,Fri May 28 2021 09:57:50 GMT-0400 (Eastern Daylight Time)
