FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55780,693660,749440,0.0632,327067,0.0311
2025,R4,2,55780,649143,704923,-0.0453,317215,-0.0366
2024,R4,2,55780,682570,738350,0.1351,329257,0.1659
2023,R4,2,55780,594698,650478,0.2713,282414,0.3135
2022,RR,2,55780,455895,511675,,215008,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jun 30 2023 00:00:00 GMT-0400 (Eastern Daylight Time),8068175,SMITELL LLC,CENTRAL PARK APT 64 N LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023070500195001,Mon Jul 10 2023 14:45:01 GMT-0400 (Eastern Daylight Time)
