FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,55330,688063,743393,0.0632,324428,0.0311
2025,R4,2,55330,643905,699235,-0.0453,314656,-0.0366
2024,R4,2,55330,677062,732392,0.1351,326601,0.1659
2023,R4,2,55330,589899,645229,0.2713,280137,0.3135
2022,RR,2,55330,452216,507546,,213275,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Jul 10 2023 00:00:00 GMT-0400 (Eastern Daylight Time),7600000,SMITELL LLC,CENTRAL PARK CONDO 61 N LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023071300150001,Fri Jul 21 2023 08:54:26 GMT-0400 (Eastern Daylight Time)
