FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,131140,1630800,1761940,0.0632,768940,0.0311
2025,R4,2,131140,1526142,1657282,-0.0453,745777,-0.0366
2024,R4,2,131140,1604727,1735867,0.1351,774088,0.1659
2023,R4,2,131140,1398139,1529279,0.2713,663961,0.3135
2022,RR,2,131140,1071812,1202952,,505490,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 26 2024 00:00:00 GMT-0400 (Eastern Daylight Time),18173600,SMITELL LLC,PARKSIDE CENTRAL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024100400334001,Mon Oct 07 2024 10:14:23 GMT-0400 (Eastern Daylight Time)
