FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,129950,1616008,1745958,0.0632,761966,0.0311
2025,R4,2,129950,1512298,1642248,-0.0453,739012,-0.0366
2024,R4,2,129950,1590171,1720121,0.1351,767068,0.1659
2023,R4,2,129950,1385457,1515407,0.2713,657938,0.3135
2022,RR,2,129950,1062090,1192040,,500904,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Apr 24 2023 00:00:00 GMT-0400 (Eastern Daylight Time),16425566,SMITELL LLC,217W 57 97W LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023042500780001,
