FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,292501,3637416,3929917,0.0632,1715083,0.0311
2025,R4,2,292501,3403981,3696482,-0.0453,1663416,-0.0366
2024,R4,2,292501,3579261,3871762,0.1351,1726569,0.1659
2023,R4,2,292501,3118478,3410979,0.2713,1480932,0.3135
2022,RR,2,292501,2390622,2683123,,1127471,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Aug 20 2024 00:00:00 GMT-0400 (Eastern Daylight Time),43500000,SMITELL LLC,"ROSE LAVENDER GARDEN I, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2024083000471001,
