FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,54719,680466,735185,0.0631,320848,0.0311
2025,R4,2,54719,636797,691516,-0.0453,311183,-0.0366
2024,R4,2,54719,669587,724306,0.1351,322996,0.1659
2023,R4,2,54719,583386,638105,0.2713,277044,0.3135
2022,RR,2,54719,447224,501943,,210920,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jul 01 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8516820,SMITELL LLC,"C & J REALTY INVESTMENT, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021070701122002,Mon Jul 19 2021 12:36:02 GMT-0400 (Eastern Daylight Time)
