FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,88734,1103459,1192193,0.0632,520292,0.0311
2025,R4,2,88734,1032643,1121377,-0.0453,504619,-0.0366
2024,R4,2,88734,1085817,1174551,0.1351,523778,0.1659
2023,R4,2,88734,946032,1034766,0.2713,449261,0.3135
2022,RR,2,88734,725227,813961,,342033,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Feb 10 2022 00:00:00 GMT-0500 (Eastern Standard Time),11232500,SMITELL LLC,THERESA WANG CHINESE CULTURE CENTER INC.,-,SINGLE RESIDENTIAL CONDO UNIT,2022021100766002,Fri Feb 18 2022 15:30:56 GMT-0500 (Eastern Standard Time)
