FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,87802,1091865,1179667,0.0632,514826,0.0311
2025,R4,2,87802,1021793,1109595,-0.0453,499318,-0.0366
2024,R4,2,87802,1074408,1162210,0.1351,518274,0.1659
2023,R4,2,87802,936092,1023894,0.2713,444539,0.3135
2022,RK,4,87802,717607,805409,,338438,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Oct 28 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8256688,SMITELL LLC,JH PARTNERS AMERICA LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021110500957001,
