FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,177500,2207318,2384818,0.0632,1040775,0.0311
2025,R4,2,177500,2065660,2243160,-0.0453,1009422,-0.0366
2024,R4,2,177500,2172027,2349527,0.1351,1047745,0.1659
2023,R4,2,177500,1892407,2069907,0.2713,898685,0.3135
2022,RR,2,177500,1450717,1628217,,684190,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
