FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,126350,1571230,1697580,0.0632,740853,0.0311
2025,R4,2,126350,1470394,1596744,-0.0453,718535,-0.0366
2024,R4,2,126350,1546109,1672459,0.1351,745814,0.1659
2023,R4,2,126350,1347067,1473417,0.2713,639708,0.3135
2022,RR,2,126350,1032661,1159011,,487025,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 22 2022 00:00:00 GMT-0400 (Eastern Daylight Time),13550000,SMITELL LLC,217 W. 57TH 85 LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022101201029001,
