FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,303142,3769751,4072893,0.0632,1777481,0.0311
2025,R4,2,303142,3527823,3830965,-0.0453,1723934,-0.0366
2024,R4,2,303142,3709480,4012622,0.1351,1789386,0.1659
2023,R4,2,303142,3231933,3535075,0.2713,1534811,0.3135
2022,RR,2,303142,2477597,2780739,,1168491,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Oct 24 2023 00:00:00 GMT-0400 (Eastern Daylight Time),46152150,SMITELL B-1 LLC,SUNSHINE MF II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023102600132001,Thu Oct 26 2023 14:49:23 GMT-0400 (Eastern Daylight Time)
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B-1 LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807003,Wed Feb 01 2023 09:52:46 GMT-0500 (Eastern Standard Time)
