FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,76613,952733,1029346,0.0632,449222,0.0311
2025,R4,2,76613,891590,968203,-0.0453,435692,-0.0366
2024,R4,2,76613,937500,1014113,0.1351,452231,0.1659
2023,R4,2,76613,816810,893423,0.2713,387893,0.3135
2022,RK,4,76613,626165,702778,,295312,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon Nov 29 2021 00:00:00 GMT-0500 (Eastern Standard Time),6434975,SMITELL LLC,"L CAPITAL INVESTMENTS, INC.",-,SINGLE RESIDENTIAL CONDO UNIT,2021120200146001,Thu Dec 16 2021 15:37:34 GMT-0500 (Eastern Standard Time)
