FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,127571,1586422,1713993,0.0632,748015,0.0311
2025,R4,2,127571,1484612,1612183,-0.0453,725482,-0.0366
2024,R4,2,127571,1561058,1688629,0.1351,753025,0.1659
2023,R4,2,127571,1360092,1487663,0.2713,645893,0.3135
2022,RR,2,127571,1042646,1170217,,491736,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jun 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),16336250,SMITELL LLC,"BRAD STADLER 2021 IRREVOCABLE TRUST #3; MEREDITH STADLER, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2021072801626002,
