FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,77321,961528,1038849,0.0632,453371,0.0311
2025,R4,2,77321,899821,977142,-0.0453,439713,-0.0366
2024,R4,2,77321,946155,1023476,0.1351,456408,0.1659
2023,R4,2,77321,824350,901671,0.2713,391476,0.3135
2022,RR,2,77321,631946,709267,,298039,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 29 2022 00:00:00 GMT-0400 (Eastern Daylight Time),6884105,SMITELL LLC,OPTIMARES CORPORATION,-,SINGLE RESIDENTIAL CONDO UNIT,2022100500832001,
