FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,56552,703255,759807,0.0632,331591,0.0311
2025,R4,2,56552,658123,714675,-0.0453,321603,-0.0366
2024,R4,2,56552,692011,748563,0.1351,333811,0.1659
2023,R4,2,56552,602924,659476,0.2713,286321,0.3135
2022,RR,2,56552,462201,518753,,217983,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 10 2024 00:00:00 GMT-0400 (Eastern Daylight Time),7362594,SMITELL LLC,"CENTRAL PARK TOWER 69N, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2024052200378001,Wed May 22 2024 14:17:18 GMT-0400 (Eastern Daylight Time)
