FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,300120,3732170,4032290,0.0632,1759761,0.0311
2025,R4,2,300120,3492653,3792773,-0.0453,1706748,-0.0366
2024,R4,2,300120,3672500,3972620,0.1351,1771547,0.1659
2023,R4,2,300120,3199713,3499833,0.2713,1519510,0.3135
2022,RR,2,300120,2452897,2753017,,1156840,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 23 2021 00:00:00 GMT-0400 (Eastern Daylight Time),47953222,SMITELL LLC,SIMATAI LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021100500682001,Tue Oct 12 2021 08:32:10 GMT-0400 (Eastern Daylight Time)
