FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,173867,2162140,2336007,0.0632,1019473,0.0311
2025,R4,2,173867,2023382,2197249,-0.0453,988762,-0.0366
2024,R4,2,173867,2127571,2301438,0.1351,1026299,0.1659
2023,R4,2,173867,1853674,2027541,0.2713,880289,0.3135
2022,RR,2,173867,1421025,1594892,,670185,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807001,Wed Feb 01 2023 09:52:44 GMT-0500 (Eastern Standard Time)
