FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,54559,678467,733026,0.0632,319905,0.0311
2025,R4,2,54559,634926,689485,-0.0453,310269,-0.0366
2024,R4,2,54559,667620,722179,0.1351,322047,0.1659
2023,R4,2,54559,581673,636232,0.2713,276230,0.3135
2022,RR,2,54559,445910,500469,,210299,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri May 07 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8420086,SMITELL LLC,SILVER KEY HOLDINGS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021051801332001,Wed May 26 2021 11:08:32 GMT-0400 (Eastern Daylight Time)
