FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,129275,1607612,1736887,0.0632,758006,0.0311
2025,R4,2,129275,1504441,1633716,-0.0453,735172,-0.0366
2024,R4,2,129275,1581909,1711184,0.1351,763083,0.1659
2023,R4,2,129275,1378259,1507534,0.2713,654520,0.3135
2022,RR,2,129275,1056572,1185847,,498302,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Feb 03 2023 00:00:00 GMT-0500 (Eastern Standard Time),16336250,SMITELL LLC,"217 W. 57TH 95W, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2023020600789001,Wed Feb 08 2023 14:52:34 GMT-0500 (Eastern Standard Time)
