FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,91467,1137442,1228909,0.0632,536316,0.0311
2025,R4,2,91467,1064446,1155913,-0.0453,520161,-0.0366
2024,R4,2,91467,1119257,1210724,0.1351,539908,0.1659
2023,R4,2,91467,975167,1066634,0.2713,463096,0.3135
2022,RR,2,91467,747562,839029,-0.9959,352567,-0.9958
2021,RR,2,24434000,179547720,203981720,,83617142,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jul 13 2023 00:00:00 GMT-0400 (Eastern Daylight Time),8170250,SMITELL LLC,RESIDENTIAL BOARD OF MANAGERS OF CENTRAL PARK TOWE,-,SINGLE RESIDENTIAL CONDO UNIT,2023072500225001,Wed Jul 26 2023 14:51:22 GMT-0400 (Eastern Daylight Time)
DEED,Wed Jan 08 2020 00:00:00 GMT-0500 (Eastern Standard Time),-,"SMITELL LLC; BROADWAY 57TH/58TH RETAIL INVESTOR, LLC",SMITELL LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2020010700385001,Fri Jan 10 2020 14:31:24 GMT-0500 (Eastern Standard Time)
