FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,306775,3814929,4121704,0.0632,1798782,0.0311
2025,R4,2,306775,3570102,3876877,-0.0453,1744595,-0.0366
2024,R4,2,306775,3753936,4060711,0.1351,1810829,0.1659
2023,R4,2,306775,3270666,3577441,0.2713,1553205,0.3135
2022,RR,2,306775,2507289,2814064,,1182493,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Mon May 23 2022 00:00:00 GMT-0400 (Eastern Daylight Time),48489875,SMITELL LLC,NY INVEST LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2022060800840001,Tue Jun 21 2022 15:53:26 GMT-0400 (Eastern Daylight Time)
