FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,75424,937940,1013364,0.0632,442249,0.0311
2025,R4,2,75424,877747,953171,-0.0453,428927,-0.0366
2024,R4,2,75424,922944,998368,0.1351,445212,0.1659
2023,R4,2,75424,804127,879551,0.2713,381872,0.3135
2022,RR,2,75424,616443,691867,,290728,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Aug 27 2021 00:00:00 GMT-0400 (Eastern Daylight Time),6128750,SMITELL LLC,"NYC TRUST; JAMES R. SUMMERS, AS TRUSTEE",-,SINGLE RESIDENTIAL CONDO UNIT,2021090300477001,Thu Sep 09 2021 16:10:54 GMT-0400 (Eastern Daylight Time)
