FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,127925,1590820,1718745,0.0632,750088,0.0311
2025,R4,2,127925,1488727,1616652,-0.0453,727493,-0.0366
2024,R4,2,127925,1565386,1693311,0.1351,755112,0.1659
2023,R4,2,127925,1363863,1491788,0.2713,647684,0.3135
2022,RR,2,127925,1045536,1173461,,493096,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Sep 14 2021 00:00:00 GMT-0400 (Eastern Daylight Time),16336250,SMITELL LLC,CPT CONDO56 HOLDINGS LP,-,SINGLE RESIDENTIAL CONDO UNIT,2021092200073001,
