FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,180201,2240901,2421102,0.0632,1056610,0.0311
2025,R4,2,180201,2097089,2277290,-0.0453,1024780,-0.0366
2024,R4,2,180201,2205073,2385274,0.1351,1063685,0.1659
2023,R4,2,180201,1921199,2101400,0.2713,912357,0.3135
2022,RR,2,180201,1472790,1652991,,694599,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B-1 LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807003,Wed Feb 01 2023 09:52:46 GMT-0500 (Eastern Standard Time)
