FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,299542,3724973,4024515,0.0632,1756368,0.0311
2025,R4,2,299542,3485919,3785461,-0.0453,1703458,-0.0366
2024,R4,2,299542,3665418,3964960,0.1351,1768131,0.1659
2023,R4,2,299542,3193544,3493086,0.2713,1516581,0.3135
2022,RR,2,299542,2448168,2747710,,1154611,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
