FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,54880,682465,737345,0.0632,321789,0.0311
2025,R4,2,54880,638667,693547,-0.0453,312096,-0.0366
2024,R4,2,54880,671554,726434,0.1351,323946,0.1659
2023,R4,2,54880,585100,639980,0.2713,277858,0.3135
2022,RR,2,54880,448537,503417,,211540,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Wed Jun 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8608463,SMITELL LLC,NEW YORK 58N LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021071300191001,
