FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,90663,1127447,1218110,0.0632,531603,0.0311
2025,R4,2,90663,1055092,1145755,-0.0453,515589,-0.0366
2024,R4,2,90663,1109421,1200084,0.1351,535164,0.1659
2023,R4,2,90663,966598,1057261,0.2713,459026,0.3135
2022,RR,2,90663,740993,831656,,349468,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Aug 27 2021 00:00:00 GMT-0400 (Eastern Daylight Time),10064999,SMITELL LLC,"XLS PROPERTIES, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021090300525001,Thu Sep 23 2021 12:03:08 GMT-0400 (Eastern Daylight Time)
