FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,132940,1653189,1786129,0.0632,779497,0.0311
2025,R4,2,132940,1547094,1680034,-0.0453,756015,-0.0366
2024,R4,2,132940,1626758,1759698,0.1351,784717,0.1659
2023,R4,2,132940,1417334,1550274,0.2713,673076,0.3135
2022,RR,2,132940,1086527,1219467,,512430,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
