FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,88059,1095063,1183122,0.0632,516334,0.0311
2025,R4,2,88059,1024786,1112845,-0.0453,500781,-0.0366
2024,R4,2,88059,1077555,1165614,0.1351,519792,0.1659
2023,R4,2,88059,938834,1026893,0.2713,445842,0.3135
2022,RR,2,88059,719709,807768,,339431,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Sep 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8170250,SMITELL LLC,CPT 38A LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021101200499001,Fri Oct 29 2021 15:35:34 GMT-0400 (Eastern Daylight Time)
