FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,54430,676868,731298,0.0632,319150,0.0311
2025,R4,2,54430,633429,687859,-0.0453,309537,-0.0366
2024,R4,2,54430,666046,720476,0.1351,321287,0.1659
2023,R4,2,54430,580302,634732,0.2713,275577,0.3135
2022,RR,2,54430,444859,499289,,209802,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 17 2021 00:00:00 GMT-0400 (Eastern Daylight Time),8323353,SMITELL LLC,"GOLD CROWN PROPERTY, LLC",-,SINGLE RESIDENTIAL CONDO UNIT,2021062301490002,Fri Jul 09 2021 09:09:22 GMT-0400 (Eastern Daylight Time)
