FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,129339,1608411,1737750,0.0632,758383,0.0311
2025,R4,2,129339,1505190,1634529,-0.0453,735539,-0.0366
2024,R4,2,129339,1582696,1712035,0.1351,763463,0.1659
2023,R4,2,129339,1378945,1508284,0.2713,654847,0.3135
2022,RR,2,129339,1057098,1186437,,498550,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jun 29 2023 00:00:00 GMT-0400 (Eastern Daylight Time),16846625,SMITELL LLC,217 W57 60E LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023070700642001,
