FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,125064,1555237,1680301,0.0632,733311,0.0311
2025,R4,2,125064,1455428,1580492,-0.0453,711222,-0.0366
2024,R4,2,125064,1530372,1655436,0.1351,738223,0.1659
2023,R4,2,125064,1333357,1458421,0.2713,633197,0.3135
2022,RR,2,125064,1022150,1147214,,482067,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Dec 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),16336250,SMITELL LLC,COSMIC HORIZONS LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2024010300078002,Thu Jan 04 2024 16:24:02 GMT-0500 (Eastern Standard Time)
