FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,300249,3733769,4034018,0.0632,1760515,0.0311
2025,R4,2,300249,3494150,3794399,-0.0453,1707480,-0.0366
2024,R4,2,300249,3674073,3974322,0.1351,1772305,0.1659
2023,R4,2,300249,3201084,3501333,0.2713,1520162,0.3135
2022,RR,2,300249,2453949,2754198,,1157336,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Jan 27 2023 00:00:00 GMT-0500 (Eastern Standard Time),44866213,SMITELL LLC,NGM BRIDGE LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2023020700048002,
