FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,173417,2156542,2329959,0.0632,1016833,0.0311
2025,R4,2,173417,2018144,2191561,-0.0453,986203,-0.0366
2024,R4,2,173417,2122063,2295480,0.1351,1023644,0.1659
2023,R4,2,173417,1848876,2022293,0.2713,878012,0.3135
2022,RR,2,173417,1417346,1590763,,668452,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Fri Mar 07 2025 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL II LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2025031001058001,Mon Mar 17 2025 09:21:24 GMT-0400 (Eastern Daylight Time)
