FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,125578,1561634,1687212,0.0632,736327,0.0311
2025,R4,2,125578,1461414,1586992,-0.0453,714146,-0.0366
2024,R4,2,125578,1536667,1662245,0.1351,741259,0.1659
2023,R4,2,125578,1338841,1464419,0.2713,635800,0.3135
2022,RR,2,125578,1026354,1151932,,484050,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Thu Jan 26 2023 00:00:00 GMT-0500 (Eastern Standard Time),-,SMITELL LLC,SMITELL B LLC,-,COMMERCIAL CONDO UNIT(S),2023013000807001,
