FY,Building Class,Tax Class,Land Value,Improvement Value,Total Value,Change,Taxable Billable AV,Change
2026,R4,2,126446,1572429,1698875,0.0632,741418,0.0311
2025,R4,2,126446,1471516,1597962,-0.0453,719083,-0.0366
2024,R4,2,126446,1547289,1673735,0.1351,746383,0.1659
2023,R4,2,126446,1348096,1474542,0.2713,640196,0.3135
2022,RR,2,126446,1033449,1159895,,487396,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Document Type,Document Date,Document Amount,Party 1,Party 2,Party 3,ACRIS Property Type,ACRIS Doc ID,Recorded Date/Time
DEED,Tue Apr 20 2021 00:00:00 GMT-0400 (Eastern Daylight Time),15315500,SMITELL LLC,HIGHMAX LLC,-,SINGLE RESIDENTIAL CONDO UNIT,2021050301386001,Mon May 10 2021 10:55:54 GMT-0400 (Eastern Daylight Time)
